id,title,slug,lead,content,image,type,custom_field,parent_id,created_at,updated_at,language,seo_title,seo_content,seo_title_desc,seo_content_desc,category_id
23,The 2024 Historic Hotels Worldwide® Awards of Excellence Nominee Finalists Announced,the-2024-historic-hotels-worldwide-awards-of-excellence-nominee-finalists-announced,"Press release published on August 27, 2024",Read more at https://www.historichotels.org/press/press-releases/the-2024-historic-hotels-worldwide-awards-of-excellence-nominee-finalists-announced,https://phgcdn.com/images/uploads/Press_Room/AwardsWinners/2024/Award_of_Excellence_1.jpg,press_release,,,2024-11-27 00:24:30,2024-11-27 00:24:30,en,The 2024 Historic Hotels Worldwide® Awards of Excellence Nominee Finalists Announced,Discover more about The 2024 Historic Hotels Worldwide® Awards of Excellence Nominee Finalists Announced.,The 2024 Historic Hotels Worldwide® Awards of Excellence Nominee Finalists Announced - SEO Title,The 2024 Historic Hotels Worldwide® Awards of Excellence Nominee Finalists Announced - SEO Description,
24,The 2024 Top 25 Historic Hotels Worldwide® Most Magnificent Ceilings and Domes List Is Announced,the-2024-top-25-historic-hotels-worldwide-most-magnificent-ceilings-and-domes-list-is-announced,"Press release published on July 16, 2024",Read more at https://www.historichotels.org/press/press-releases/the-2024-top-25-historic-hotels-worldwide-most-magnificent-ceilings-and-domes-list-is-announced,https://phgcdn.com/images/uploads/Press_Room/Top_25/July_2024_HHW/Hero.jpg,press_release,,,2024-11-27 00:24:31,2024-11-27 00:24:31,en,The 2024 Top 25 Historic Hotels Worldwide® Most Magnificent Ceilings and Domes List Is Announced,Discover more about The 2024 Top 25 Historic Hotels Worldwide® Most Magnificent Ceilings and Domes List Is Announced.,The 2024 Top 25 Historic Hotels Worldwide® Most Magnificent Ceilings and Domes List Is Announced - SEO Title,The 2024 Top 25 Historic Hotels Worldwide® Most Magnificent Ceilings and Domes List Is Announced - SEO Description,
25,,,Press release published on ,Read more at https://www.historichotels.org/press/press-releases/top-25-historic-hotels-worldwide-most-magnificent-gardens,https://phgcdn.com/images/uploads/Press_Room/Top_25/May_2024_HHW/The_K_Club_Hero.jpg,press_release,,,2024-11-27 00:24:32,2024-11-27 00:24:32,en,,Discover more about ., - SEO Title, - SEO Description,
26,,,Press release published on ,Read more at https://www.historichotels.org/press/press-releases/de-historiske-and-historic-hotels-worldwide-expand-relationship-26th-february-2024,https://phgcdn.com/images/uploads/Press_Room/Feb_24_HHA/Thumbnail.png,press_release,,,2024-11-27 00:24:34,2024-11-27 00:24:34,en,,Discover more about ., - SEO Title, - SEO Description,
27,,,Press release published on ,Read more at https://www.historichotels.org/press/press-releases/the-2024-top-25-historic-hotels-worldwide-most-romantic-hotels-list-is-announced,https://phgcdn.com/images/uploads/Press_Room/Feb_24_WW/WW_Hero.png,press_release,,,2024-11-27 00:24:35,2024-11-27 00:24:35,en,,Discover more about ., - SEO Title, - SEO Description,
28,,,Press release published on ,Read more at https://www.historichotels.org/press/press-releases/23-historic-hotels-inducted-into-historic-hotels-worldwide-in-2023,https://phgcdn.com/images/uploads/Press_Room/Misc./Misc._14.png,press_release,,,2024-11-27 00:24:37,2024-11-27 00:24:37,en,,Discover more about ., - SEO Title, - SEO Description,
29,,,Press release published on ,Read more at https://www.historichotels.org/press/press-releases/the-2023-top-25-historic-hotels-worldwide-holiday-traditions-and-spectacular-displays-list,https://phgcdn.com/images/uploads/Press_Room/Dec_23_Gingerbread_WW/PR_Hero.png,press_release,,,2024-11-27 00:24:38,2024-11-27 00:24:38,en,,Discover more about ., - SEO Title, - SEO Description,
30,,,Press release published on ,Read more at https://www.historichotels.org/press/press-releases/the-2023-top-25-historic-hotels-worldwide-culinary-heritage-and-traditions-list,https://phgcdn.com/images/uploads/Press_Room/Nov._23_Culinary_Traditions_WW/Untitled_design_56.png,press_release,,,2024-11-27 00:24:38,2024-11-27 00:24:38,en,,Discover more about ., - SEO Title, - SEO Description,
31,,,Press release published on ,Read more at https://www.historichotels.org/press/press-releases/2023-historic-hotels-worldwide-annual-awards-of-excellence-winners-announced,https://phgcdn.com/images/uploads/PHXWG/masthead/Image_of_exterior_front_porch_of_The_Wigwam_1929_Member_of_Historic_Hotels_of_America_in_Litchfield_Park_Arizona_Discover.png,press_release,,,2024-11-27 00:24:40,2024-11-27 00:24:40,en,,Discover more about ., - SEO Title, - SEO Description,
32,,,Press release published on ,Read more at https://www.historichotels.org/press/press-releases/the-2023-top-25-historic-hotels-worldwide-most-magnificent-art-collections-list-is-announced,https://phgcdn.com/images/uploads/TOP_25_LISTS/Art_Collections/2023/HHW/Sofitel_Legend_The_Grand_Amsterdam.png,press_release,,,2024-11-27 00:24:42,2024-11-27 00:24:42,en,,Discover more about ., - SEO Title, - SEO Description,
