id,title,slug,lead,content,image,type,custom_field,parent_id,created_at,updated_at,language,seo_title,seo_content,seo_title_desc,seo_content_desc,category_id
15,Michelin Star for Benjamin Kriegel at Steigenberger Icon Parkhotel,michelin-star-for-benjamin-kriegel-at-steigenberger-icon-parkhotel,05.04.2023,Press release for Michelin Star for Benjamin Kriegel at Steigenberger Icon Parkhotel on 05.04.2023,hworld_images/Michelin_Star_for_Benjamin_Kriegel_at_Steigenberger_Icon_Parkhotel.jpg,press_release,,,2024-11-23 23:26:37,2024-11-23 23:26:37,en,Michelin Star for Benjamin Kriegel at Steigenberger Icon Parkhotel,Press release for Michelin Star for Benjamin Kriegel at Steigenberger Icon Parkhotel on 05.04.2023,Michelin Star for Benjamin Kriegel at Steigenberger Icon Parkhotel,Press release for Michelin Star for Benjamin Kriegel at Steigenberger Icon Parkhotel on 05.04.2023,
16,Successful opening for Steigenberger Hotel & Nelson Village in Taba,successful-opening-for-steigenberger-hotel-&-nelson-village-in-taba,04.04.2023,Press release for Successful opening for Steigenberger Hotel & Nelson Village in Taba on 04.04.2023,hworld_images/Successful_opening_for_Steigenberger_Hotel_&_Nelson_Village_in_Taba.jpg,press_release,,,2024-11-23 23:26:38,2024-11-23 23:26:38,en,Successful opening for Steigenberger Hotel & Nelson Village in Taba,Press release for Successful opening for Steigenberger Hotel & Nelson Village in Taba on 04.04.2023,Successful opening for Steigenberger Hotel & Nelson Village in Taba,Press release for Successful opening for Steigenberger Hotel & Nelson Village in Taba on 04.04.2023,
17,Two Steigenberger Icon Hotels with new managers at the helm since March,two-steigenberger-icon-hotels-with-new-managers-at-the-helm-since-march,22.03.2023,Press release for Two Steigenberger Icon Hotels with new managers at the helm since March on 22.03.2023,hworld_images/Two_Steigenberger_Icon_Hotels_with_new_managers_at_the_helm_since_March.jpg,press_release,,,2024-11-23 23:26:39,2024-11-23 23:26:39,en,Two Steigenberger Icon Hotels with new managers at the helm since March,Press release for Two Steigenberger Icon Hotels with new managers at the helm since March on 22.03.2023,Two Steigenberger Icon Hotels with new managers at the helm since March,Press release for Two Steigenberger Icon Hotels with new managers at the helm since March on 22.03.2023,
18,H World International relaunches its loyalty program and unveils future of IntercityHotel and Zleep Hotels brands,h-world-international-relaunches-its-loyalty-program-and-unveils-future-of-intercityhotel-and-zleep-hotels-brands,07.03.2023,Press release for H World International relaunches its loyalty program and unveils future of IntercityHotel and Zleep Hotels brands on 07.03.2023,hworld_images/H_World_International_relaunches_its_loyalty_program_and_unveils_future_of_IntercityHotel_and_Zleep_Hotels_brands.jpg,press_release,,,2024-11-23 23:26:39,2024-11-23 23:26:39,en,H World International relaunches its loyalty program and unveils future of IntercityHotel and Zleep Hotels brands,Press release for H World International relaunches its loyalty program and unveils future of IntercityHotel and Zleep Hotels brands on 07.03.2023,H World International relaunches its loyalty program and unveils future of IntercityHotel and Zleep Hotels brands,Press release for H World International relaunches its loyalty program and unveils future of IntercityHotel and Zleep Hotels brands on 07.03.2023,
19,Zleep Hotels comes to Berlin Airport,zleep-hotels-comes-to-berlin-airport,21.02.2023,Press release for Zleep Hotels comes to Berlin Airport on 21.02.2023,hworld_images/Zleep_Hotels_comes_to_Berlin_Airport.jpg,press_release,,,2024-11-23 23:26:40,2024-11-23 23:26:40,en,Zleep Hotels comes to Berlin Airport,Press release for Zleep Hotels comes to Berlin Airport on 21.02.2023,Zleep Hotels comes to Berlin Airport,Press release for Zleep Hotels comes to Berlin Airport on 21.02.2023,
20,"H World International appoints new management positions at the locations in Potsdam, Krems and Makadi","h-world-international-appoints-new-management-positions-at-the-locations-in-potsdam,-krems-and-makadi",09.02.2023,"Press release for H World International appoints new management positions at the locations in Potsdam, Krems and Makadi on 09.02.2023","hworld_images/H_World_International_appoints_new_management_positions_at_the_locations_in_Potsdam,_Krems_and_Makadi.jpg",press_release,,,2024-11-23 23:26:40,2024-11-23 23:26:40,en,"H World International appoints new management positions at the locations in Potsdam, Krems and Makadi","Press release for H World International appoints new management positions at the locations in Potsdam, Krems and Makadi on 09.02.2023","H World International appoints new management positions at the locations in Potsdam, Krems and Makadi","Press release for H World International appoints new management positions at the locations in Potsdam, Krems and Makadi on 09.02.2023",
21,IntercityHotel welcomes four new managers at four locations,intercityhotel-welcomes-four-new-managers-at-four-locations,06.02.2023,Press release for IntercityHotel welcomes four new managers at four locations on 06.02.2023,hworld_images/IntercityHotel_welcomes_four_new_managers_at_four_locations.jpg,press_release,,,2024-11-23 23:26:41,2024-11-23 23:26:41,en,IntercityHotel welcomes four new managers at four locations,Press release for IntercityHotel welcomes four new managers at four locations on 06.02.2023,IntercityHotel welcomes four new managers at four locations,Press release for IntercityHotel welcomes four new managers at four locations on 06.02.2023,
22,Stefan Frank is General Manager at Steigenberger Icon Frankfurter Hof,stefan-frank-is-general-manager-at-steigenberger-icon-frankfurter-hof,31.01.2023,Press release for Stefan Frank is General Manager at Steigenberger Icon Frankfurter Hof on 31.01.2023,hworld_images/Stefan_Frank_is_General_Manager_at_Steigenberger_Icon_Frankfurter_Hof.jpg,press_release,,,2024-11-23 23:26:42,2024-11-23 23:26:42,en,Stefan Frank is General Manager at Steigenberger Icon Frankfurter Hof,Press release for Stefan Frank is General Manager at Steigenberger Icon Frankfurter Hof on 31.01.2023,Stefan Frank is General Manager at Steigenberger Icon Frankfurter Hof,Press release for Stefan Frank is General Manager at Steigenberger Icon Frankfurter Hof on 31.01.2023,
23,Daniela Stein appointed General Manager of IntercityHotel Berlin Ostbahnhof,daniela-stein-appointed-general-manager-of-intercityhotel-berlin-ostbahnhof,24.01.2023,Press release for Daniela Stein appointed General Manager of IntercityHotel Berlin Ostbahnhof on 24.01.2023,hworld_images/Daniela_Stein_appointed_General_Manager_of_IntercityHotel_Berlin_Ostbahnhof.jpg,press_release,,,2024-11-23 23:26:42,2024-11-23 23:26:42,en,Daniela Stein appointed General Manager of IntercityHotel Berlin Ostbahnhof,Press release for Daniela Stein appointed General Manager of IntercityHotel Berlin Ostbahnhof on 24.01.2023,Daniela Stein appointed General Manager of IntercityHotel Berlin Ostbahnhof,Press release for Daniela Stein appointed General Manager of IntercityHotel Berlin Ostbahnhof on 24.01.2023,
25,"Norman Mark becomes General Manager at Steigenberger Icon Wiltcher's, Brussels","norman-mark-becomes-general-manager-at-steigenberger-icon-wiltcher's,-brussels",16.01.2023,"Press release for Norman Mark becomes General Manager at Steigenberger Icon Wiltcher's, Brussels on 16.01.2023","hworld_images/Norman_Mark_becomes_General_Manager_at_Steigenberger_Icon_Wiltcher's,_Brussels.jpg",press_release,,,2024-11-23 23:26:44,2024-11-23 23:26:44,en,"Norman Mark becomes General Manager at Steigenberger Icon Wiltcher's, Brussels","Press release for Norman Mark becomes General Manager at Steigenberger Icon Wiltcher's, Brussels on 16.01.2023","Norman Mark becomes General Manager at Steigenberger Icon Wiltcher's, Brussels","Press release for Norman Mark becomes General Manager at Steigenberger Icon Wiltcher's, Brussels on 16.01.2023",
