id,title,slug,lead,content,image,type,custom_field,parent_id,created_at,updated_at,language,seo_title,seo_content,seo_title_desc,seo_content_desc,category_id
1,CHOICE HOTELS EXPANDS IN SPAIN WITH FARANDA HOTELS & RESORTS AGREEMENT,choice-hotels-expands-in-spain-with-faranda-hotels-&-resorts-agreement,"Agreement with Faranda Hotels sees the addition of eight properties across Spain, comprising more than 700 rooms. The properties will be integrated throughout 2024 and 2025, under the Choice...",,https://media.choicehotels.com/international-press-releases?item=118#assets_34143_118-150,press_release,,,2024-10-31 00:00:00,2024-10-31 00:00:00,en,CHOICE HOTELS EXPANDS IN SPAIN WITH FARANDA HOTELS & RESORTS AGREEMENT,"Agreement with Faranda Hotels sees the addition of eight properties across Spain, comprising more than 700 rooms. The properties will be integrated throughout 2024 and 2025, under the Choice...",CHOICE HOTELS EXPANDS IN SPAIN WITH FARANDA HOTELS & RESORTS AGREEMENT,"Agreement with Faranda Hotels sees the addition of eight properties across Spain, comprising more than 700 rooms. The properties will be integrated throughout 2024 and 2025, under the Choice...",
2,Choice Hotels CALA inaugura su nuevo hotel Radisson Puebla Angelópolis,choice-hotels-cala-inaugura-su-nuevo-hotel-radisson-puebla-angelópolis,"Inversión de 365 millones de pesos que crean 40 empleos directos y otros 100 indirectos Ofrece amplia gama de servicios y comodidades de alta calidad Puebla, Puebla, 14 de octubre de 2024.-...",,https://media.choicehotels.com/Choice-Hotels-CALA-inaugura-su-nuevo-hotel-Radisson-Puebla-Angelopolis#assets_34143_117-150,press_release,,,2024-10-16 00:00:00,2024-10-16 00:00:00,en,Choice Hotels CALA inaugura su nuevo hotel Radisson Puebla Angelópolis,"Inversión de 365 millones de pesos que crean 40 empleos directos y otros 100 indirectos Ofrece amplia gama de servicios y comodidades de alta calidad Puebla, Puebla, 14 de octubre de 2024.-...",Choice Hotels CALA inaugura su nuevo hotel Radisson Puebla Angelópolis,"Inversión de 365 millones de pesos que crean 40 empleos directos y otros 100 indirectos Ofrece amplia gama de servicios y comodidades de alta calidad Puebla, Puebla, 14 de octubre de 2024.-...",
3,"Choice Hotels CALA inaugura, en la Zona Rosa de la CDMX, el Amberes Seis Cuatro Ascend Hotel Collection TM","choice-hotels-cala-inaugura,-en-la-zona-rosa-de-la-cdmx,-el-amberes-seis-cuatro-ascend-hotel-collection-tm","Ciudad de México, julio 29 de 2024.- Ubicado en la vibrante Zona Rosa, en Amberes 64, a minutos del icónico Ángel de la Independencia, Choice Hotels CALA inauguró su nuevo hotel Amberes Seis...",,https://media.choicehotels.com/Choice-Hotels-CALA-inaugura-su-nuevo-hotel-Radisson-Puebla-Angelopolis#assets_34143_117-150,press_release,,,2024-07-29 00:00:00,2024-07-29 00:00:00,en,"Choice Hotels CALA inaugura, en la Zona Rosa de la CDMX, el Amberes Seis Cuatro Ascend Hotel Collection TM","Ciudad de México, julio 29 de 2024.- Ubicado en la vibrante Zona Rosa, en Amberes 64, a minutos del icónico Ángel de la Independencia, Choice Hotels CALA inauguró su nuevo hotel Amberes Seis...","Choice Hotels CALA inaugura, en la Zona Rosa de la CDMX, el Amberes Seis Cuatro Ascend Hotel Collection TM","Ciudad de México, julio 29 de 2024.- Ubicado en la vibrante Zona Rosa, en Amberes 64, a minutos del icónico Ángel de la Independencia, Choice Hotels CALA inauguró su nuevo hotel Amberes Seis...",
4,CHOICE HOTELS EMEA APPOINTS NEW HEAD OF COMMERCIAL,choice-hotels-emea-appoints-new-head-of-commercial,Cedric Bartolini appointed as Choice Hotels EMEA Head of Commercial Amsterdam 18 July 2024 – Choice Hotels EMEA has appointed Cedric Bartolini as Head of Commercial. Cedric will direct and lead...,,https://media.choicehotels.com/international-press-releases?item=115#assets_34143_115-150,press_release,,,2024-07-18 00:00:00,2024-07-18 00:00:00,en,CHOICE HOTELS EMEA APPOINTS NEW HEAD OF COMMERCIAL,Cedric Bartolini appointed as Choice Hotels EMEA Head of Commercial Amsterdam 18 July 2024 – Choice Hotels EMEA has appointed Cedric Bartolini as Head of Commercial. Cedric will direct and lead...,CHOICE HOTELS EMEA APPOINTS NEW HEAD OF COMMERCIAL,Cedric Bartolini appointed as Choice Hotels EMEA Head of Commercial Amsterdam 18 July 2024 – Choice Hotels EMEA has appointed Cedric Bartolini as Head of Commercial. Cedric will direct and lead...,
5,CHOICE HOTELS AND IAG LOYALTY LAUNCH NEW COLLABORATION TO OFFER CHOICE PRIVILEGES® MEMBERS MORE OPPORTUNITIES TO REDEEM POINTS FOR TRAVEL,choice-hotels-and-iag-loyalty-launch-new-collaboration-to-offer-choice-privileges®-members-more-opportunities-to-redeem-points-for-travel,"The agreement will enable Choice Privileges® members the ability to redeem points for Avios which they can use to book flights, flight upgrades, experiences and car rentals. Choice Privileges...",,https://media.choicehotels.com/international-press-releases?item=114#assets_34143_114-150,press_release,,,2024-07-08 00:00:00,2024-07-08 00:00:00,en,CHOICE HOTELS AND IAG LOYALTY LAUNCH NEW COLLABORATION TO OFFER CHOICE PRIVILEGES® MEMBERS MORE OPPORTUNITIES TO REDEEM POINTS FOR TRAVEL,"The agreement will enable Choice Privileges® members the ability to redeem points for Avios which they can use to book flights, flight upgrades, experiences and car rentals. Choice Privileges...",CHOICE HOTELS AND IAG LOYALTY LAUNCH NEW COLLABORATION TO OFFER CHOICE PRIVILEGES® MEMBERS MORE OPPORTUNITIES TO REDEEM POINTS FOR TRAVEL,"The agreement will enable Choice Privileges® members the ability to redeem points for Avios which they can use to book flights, flight upgrades, experiences and car rentals. Choice Privileges...",
